model,roc_auc,pr_auc,f1,recall
random_forest_smote,0.9861779165321911,0.8431732735509669,0.8053778463801462,0.8122038299253489
hist_gb_weighted,0.9785475365816516,0.8297404641490178,0.8366722771168907,0.7691333982473223
logistic_smote,0.978859213457212,0.7638850865931746,0.09599928241621275,0.9188575137942226
decision_tree_weighted,0.889242009208872,0.49451310724179864,0.23343223102785574,0.8325868224602402
