fpr,tpr,threshold
0.0,0.0,inf
0.0,0.32653061224489793,1.0
0.0,0.3979591836734694,0.9966684917496106
0.0,0.41836734693877553,0.9966666666666667
0.0,0.6020408163265306,0.984550450463552
3.517163759144626e-05,0.6020408163265306,0.9772340985407736
3.517163759144626e-05,0.6836734693877551,0.9362529017427075
5.2757456387169386e-05,0.6836734693877551,0.9324430645974292
5.2757456387169386e-05,0.7040816326530612,0.9140426548730015
7.034327518289252e-05,0.7040816326530612,0.9113301052439732
7.034327518289252e-05,0.7142857142857143,0.9005995923923249
8.792909397861564e-05,0.7142857142857143,0.8792004037568013
8.792909397861564e-05,0.7244897959183674,0.8513073156149551
0.00010551491277433877,0.7244897959183674,0.8411135877558367
0.00010551491277433877,0.7653061224489796,0.8129082933875279
0.0001231007315700619,0.7653061224489796,0.8077802544225033
0.0001231007315700619,0.7755102040816326,0.8064736010167598
0.00017585818795723128,0.7755102040816326,0.7782042048426246
0.00017585818795723128,0.7959183673469388,0.7430074153979664
0.0002813731007315701,0.7959183673469388,0.6950456815229438
0.0002813731007315701,0.8163265306122449,0.6900139547546373
0.00033413055711873946,0.8163265306122449,0.6426290643042333
0.00033413055711873946,0.826530612244898,0.6072639450116898
0.00047481710748452447,0.826530612244898,0.5085516780095902
0.00047481710748452447,0.8367346938775511,0.49851665885634994
0.0005627462014631402,0.8367346938775511,0.4764436336350931
0.0005627462014631402,0.8469387755102041,0.46958165141494496
0.0007737760270118177,0.8469387755102041,0.3875540281423279
0.0007737760270118177,0.8571428571428571,0.3770000995466175
0.0009496342149690489,0.8571428571428571,0.34070939961653457
0.0009496342149690489,0.8673469387755102,0.3395485590379817
0.0010727349465391109,0.8673469387755102,0.3102523840380645
0.0010727349465391109,0.8775510204081632,0.3068490941792514
0.0012661789532920653,0.8775510204081632,0.2866360266076118
0.0012661789532920653,0.8877551020408163,0.2851681849144811
0.0015827236916150817,0.8877551020408163,0.24100618278935423
0.0015827236916150817,0.8979591836734694,0.24050726624869
0.005768148564997186,0.8979591836734694,0.10544608777377969
