precision,recall,threshold
0.0017204452090867595,1.0,0.0
0.003939566241572577,0.9897959183673469,0.0008311766044489712
0.003940046305698851,0.9897959183673469,0.000831373909327151
0.003940206353074986,0.9897959183673469,0.0008325258912439589
0.003940366413454117,0.9897959183673469,0.0008330531018511396
0.003940526486837829,0.9897959183673469,0.0008333992853730101
0.003940686573227706,0.9897959183673469,0.0009466211895830097
0.003940846672625335,0.9897959183673469,0.0009484952862273607
0.0039410067850323,0.9897959183673469,0.0009492639129235321
0.003941166910450187,0.9897959183673469,0.0009498900290189586
0.0039416473647852415,0.9897959183673469,0.0009500690001254547
0.003941807542262679,0.9897959183673469,0.0009525245266774204
0.003941967732758971,0.9897959183673469,0.0009526142723372749
0.0039421279362757055,0.9897959183673469,0.0009528296987272596
0.003942288152814469,0.9897959183673469,0.0009529194750624505
0.003942448382376849,0.9897959183673469,0.0009529194750624507
0.0039426086249644355,0.9897959183673469,0.0009529553881234933
0.003943249725598601,0.9897959183673469,0.0009530092604227926
0.003943410033336044,0.9897959183673469,0.0009544650417955749
0.003943570354108225,0.9897959183673469,0.0009545190051933722
0.003943730687916734,0.9897959183673469,0.00095457297184896
0.003943891034763163,0.9897959183673469,0.0009563196511212162
0.003944211767576139,0.9897959183673469,0.0009566621839653607
0.0039443721535458685,0.9897959183673469,0.0011037492769627175
0.0039445325525598795,0.9897959183673469,0.001104836839715748
0.003944692964619764,0.9897959183673469,0.0011051088973075785
0.003944853389727113,0.9897959183673469,0.0011059449206112482
0.00394501382788352,0.9897959183673469,0.0011061588883624714
0.003945334743349874,0.9897959183673469,0.0011071904030429377
0.0039454952206630055,0.9897959183673469,0.0011072488193676375
0.003945655711031565,0.9897959183673469,0.0011072877652933833
0.003946458358761545,0.9897959183673469,0.0011073267125866362
0.003946618927496134,0.9897959183673469,0.001107813669165113
0.003946940104166667,0.9897959183673469,0.0011085542527288605
0.003947421967199772,0.9897959183673469,0.0011086322376517455
0.003947582614357806,0.9897959183673469,0.0011086322376517457
0.0039477432745919985,0.9897959183673469,0.0011087492253112176
0.003947903947903948,0.9897959183673469,0.0011087882239380355
0.003948225333767503,0.9897959183673469,0.0011088077237652965
0.003948546771961247,0.9897959183673469,0.0011090222444774369
0.0039487075106859355,0.9897959183673469,0.0011093538580490977
0.0039490290273989336,0.9897959183673469,0.0011095879978676416
0.003949833048293835,0.9897959183673469,0.0011096660554471764
0.003949993891762023,0.9897959183673469,0.001110193087674168
0.003950154748330347,0.9897959183673469,0.0011103297664951616
0.003950959227730031,0.9897959183673469,0.0011104469331583028
0.003951281111246894,0.9897959183673469,0.0011105250511337331
0.003951442072673945,0.9897959183673469,0.0011106422383983308
0.003951603047215545,0.9897959183673469,0.0011106813035672073
0.0039517640348732995,0.9897959183673469,0.0011108766500199292
0.003951925035648808,0.9897959183673469,0.001110954798219596
0.003952247076559508,0.9897959183673469,0.001111052491199686
0.003952730236348818,0.9897959183673469,0.0011111697341153642
0.003952891315864542,0.9897959183673469,0.0011117365826580196
0.003953374633192045,0.9897959183673469,0.001111775686320501
0.0039535357652333404,0.9897959183673469,0.0011117952386676714
0.003953696910410043,0.9897959183673469,0.0011119907810589467
0.0039538580687237595,0.9897959183673469,0.0011122059174281434
0.003954341622503058,0.9897959183673469,0.001112401532081625
0.003954502833380896,0.9897959183673469,0.001112440659142989
0.003954664057403783,0.9897959183673469,0.0011125580485897247
0.003954825294573327,0.9897959183673469,0.001112655882597367
0.003955147808358817,0.9897959183673469,0.0011127145871342558
0.003955309084977981,0.9897959183673469,0.001112832005506862
0.003955470374750234,0.9897959183673469,0.0011130864545226074
0.003955631677677188,0.9897959183673469,0.0011131256056930005
0.00395579299376045,0.9897959183673469,0.0011131256056930007
0.003955954323001631,0.9897959183673469,0.0011133801219006488
0.003956115665402341,0.9897959183673469,0.001113419283410305
0.003956599771577745,0.9897959183673469,0.0011137130386894892
0.003956922574855185,0.9897959183673469,0.0011138893290994858
0.00395708399624689,0.9897959183673469,0.0011144575660704693
0.003957245430809399,0.9897959183673469,0.0011144771656255382
0.003957406878544327,0.9897959183673469,0.0011148496227724293
0.003958375841664966,0.9897959183673469,0.0011153987342701495
0.0039585373816519755,0.9897959183673469,0.001115869616940281
0.0039586989348243075,0.9897959183673469,0.0011162621713383647
0.003958860501183577,0.9897959183673469,0.0013230070711177787
0.003959830176355324,0.9897959183673469,0.0013233843752044946
0.003959991835068381,0.9897959183673469,0.001323614996809637
0.003960476890413196,0.9897959183673469,0.0013236778997854346
0.003960800326663945,0.9897959183673469,0.0013252933156537132
0.003961285580103728,0.9897959183673469,0.0013253772810507042
0.003961447357673772,0.9897959183673469,0.001327414885749857
0.00396160914845824,0.9897959183673469,0.0013277512521649582
0.003961770952458749,0.9897959183673469,0.001327835355578025
0.00396209460011437,0.9897959183673469,0.0013278774090562256
0.003962742054089387,0.9897959183673469,0.00132798254791949
0.003963389719702542,0.9897959183673469,0.0013286135361722348
0.00396355166918645,0.9897959183673469,0.0013288449651607103
0.003963713631905851,0.9897959183673469,0.0013288870470009224
0.003963875607862368,0.9897959183673469,0.0013289922567744443
0.003964361615170836,0.9897959183673469,0.0013290553861860005
0.003964847741671776,0.9897959183673469,0.001329181652991645
0.003965009810333551,0.9897959183673469,0.0013293710731589658
0.003965171892245432,0.9897959183673469,0.0013294131697824238
0.003965658217497956,0.9897959183673469,0.0013295184165167866
0.00396582035242651,0.9897959183673469,0.0013295394667509747
0.003965982500613296,0.9897959183673469,0.0013296236706456545
0.003966306836768073,0.9897959183673469,0.0013296447223588373
0.003966469024739317,0.9897959183673469,0.0013296657743678377
0.0039671179092879635,0.9897959183673469,0.0013298342010900242
0.00396744243118328,0.9897959183673469,0.0013299184215518876
0.003967604712041885,0.9897959183673469,0.0013299605335581868
0.003967767006176627,0.9897959183673469,0.0013304449067176416
0.003968091634281039,0.9897959183673469,0.0013304659699723339
0.003968253968253968,0.9897959183673469,0.0013304870335230866
0.0039687410498752095,0.9897959183673469,0.0013305712906868327
0.003968903436988544,0.9897959183673469,0.0013306555525880528
0.003969228251084376,0.9897959183673469,0.001330676618803635
0.00396939067807014,0.9897959183673469,0.0013307187521231759
0.0039698780387983955,0.9897959183673469,0.0013307819543235215
0.0039700405189702455,0.9897959183673469,0.0013308030223159375
0.003970528039295948,0.9897959183673469,0.001330824090604514
0.003971503439240092,0.9897959183673469,0.0013308451591892581
0.003971828679059864,0.9897959183673469,0.0013308662280701756
0.0039719913189468084,0.9897959183673469,0.0013308872972472724
0.003972153972153972,0.9897959183673469,0.001331034789780502
0.003972479318535506,0.9897959183673469,0.001331076933170254
0.003972642011713151,0.9897959183673469,0.001331119077744974
0.003973130171213238,0.9897959183673469,0.0013311401504767127
0.0039732929177077785,0.9897959183673469,0.0013311822968289787
0.003973455677535639,0.9897959183673469,0.0013312665930888393
0.003973618450698456,0.9897959183673469,0.001331393046367703
0.00397378123719787,0.9897959183673469,0.0013314351998312771
0.00397394403703552,0.9897959183673469,0.0013315827462890837
0.00397443251659428,0.9897959183673469,0.0013316881455077232
0.003974758236354696,0.9897959183673469,0.0013316881455077234
0.003975246916109995,0.9897959183673469,0.0013317092262406958
0.003975572769375794,0.9897959183673469,0.001331772470218216
0.003976387636304009,0.9897959183673469,0.0013317935521369444
0.003976550649776575,0.9897959183673469,0.001332046558286925
0.003977039770397704,0.9897959183673469,0.0013320676440600498
0.003977529011358511,0.9897959183673469,0.0013322996071371644
0.0039778552388763586,0.9897959183673469,0.0013323417860977107
0.003978507854476847,0.9897959183673469,0.0013323628760229063
0.003978671041837572,0.9897959183673469,0.0013324050567631745
0.003978834242585832,0.9897959183673469,0.0013324261475782598
0.003978997456723275,0.9897959183673469,0.001332489421803392
0.003979323925172301,0.9897959183673469,0.0013324894218033922
0.003979650447197834,0.9897959183673469,0.001332573791590185
0.0039804669867454555,0.9897959183673469,0.0013325948847785825
0.003980793696392662,0.9897959183673469,0.001332637072045461
0.0039809570713289005,0.9897959183673469,0.0013327847368260644
0.003981283861434904,0.9897959183673469,0.001332826929434023
0.003981937602627258,0.9897959183673469,0.0013328691232290266
0.003982101071472556,0.9897959183673469,0.0013328691232290268
0.003982264553740044,0.9897959183673469,0.0013331645130355062
0.003982428049431375,0.9897959183673469,0.0013332700234949845
0.003983082166468197,0.9897959183673469,0.0013333122297569805
0.003983409305572666,0.9897959183673469,0.0013333966458438855
0.003983572895277208,0.9897959183673469,0.0013334177506079217
0.003983900114999179,0.9897959183673469,0.0013334388556688944
0.003984554715741045,0.9897959183673469,0.0013335021726334944
0.003984882096787446,0.9897959183673469,0.0013335865994104528
0.0039850458074853125,0.9897959183673469,0.0013336077068471436
0.00398586456278764,0.9897959183673469,0.0013336499226115097
0.003986028354222314,0.9897959183673469,0.001333713248485616
0.003986847513357994,0.9897959183673469,0.0013338187975496956
0.003987011385589215,0.9897959183673469,0.0013338610192546731
0.003987339170469026,0.9897959183673469,0.001333966578715919
0.003987503083120941,0.9897959183673469,0.0013340088045800703
0.003988158868514102,0.9897959183673469,0.0013340510316326697
0.003988814869643885,0.9897959183673469,0.0013344100095704554
0.00398914295114328,0.9897959183673469,0.001334515607663202
